name,Subtitle,Current Price,Final_price,image,styles
Nike Blazer Mid '77 Vintage,Men's Shoes,99.95,99.95,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/073bc8ed-d6c6-442b-a35d-bd53eb61ab78/image.jpg",BQ6806-122
Jordan Air Wordmark,Men's T-Shirt,26.47,32.95,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/48e55ef8-177c-48a6-9943-2d45355f711c/image.jpg",CK4212-103
Nike Gift Card,,0.0,0.0,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/b4f20f67-6cd6-4f8e-8e1c-41ccf6d9de08/image.jpg",DH4179-738
NikeCourt Air Zoom Vapor Pro,Men's Carpet Tennis Shoes,65.97,109.95,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/f6c03219-d4ea-4478-9758-ec1d8427db46/image.jpg",DH4179-738
Nike Zenvy,Women's Gentle-Support High-Waisted Cropped Leggings,84.95,84.95,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/861d5500-8bcd-42d4-a927-47c9122732e6/image.jpg",DH4179-738
Nike Zenvy,Women's Gentle-Support High-Waisted Capri Leggings,84.95,84.95,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/26c676a9-e2c0-4d73-916a-d51893d2ce83/image.jpg",DH4179-738
Nike Zenvy,Women's Gentle-Support High-Waisted 7/8 Leggings,89.95,89.95,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/70cdb9d8-c4be-4b7b-9285-ad13a8fec3f9/image.jpg",DH4179-738
Nike Go,Women's Firm-Support Mid-Rise 20cm (approx.) Biker Shorts with Pockets,59.95,59.95,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/33d713f4-009e-42a2-a465-e91be1cba949/image.jpg",DH4179-738
Nike Savaleos,Weightlifting Shoe,114.95,114.95,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/ee049658-5f9b-4b10-b878-29f11f4d99a2/image.jpg",DH4179-738
Nike Zenvy,Women's Gentle-Support High-Waisted Full-Length Leggings,89.95,89.95,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/31f65f2e-88f0-4482-9b36-7d472ee7f6a7/image.jpg",DH4179-738
Nike Go,Women's Firm-Support High-Waisted Full-Length Leggings with Pockets,89.95,89.95,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/4d6fcc38-bbd8-40e7-bc91-d8c56bab7d16/image.jpg",DH4179-738
Nike Go,Women's Firm-Support Mid-Rise Full-Length Leggings with Pockets,89.95,89.95,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/002fb49d-71f5-45ac-98d8-08a5dceeb1c4/image.jpg",DH4179-738
Nike Air Max 90 Unlocked By You,Custom Shoes,169.95,169.95,"https://static.nike.com/a/images/ar_4:5,c_pad,w_400,f_auto/t_product_v1/92233cd9-3df2-46cf-a20c-a563472208a0/custom-air-max-90-unlocked-by-you.jpg",DH4179-738
Nike Go,Women's Firm-Support Mid-Rise 7/8 Leggings with Pockets,89.95,89.95,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/b6144d51-ab43-416c-8ccf-e527bc2508be/image.jpg",DH4179-738
Nike Zenvy,Women's Gentle-Support Mid-Rise Full-Length Leggings,89.95,89.95,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/63ab6221-5c19-4376-91dc-6a82a8fc240a/image.jpg",DH4179-738
Nike Zenvy,Women's Gentle-Support Mid-Rise 20cm (approx.) Biker Shorts,59.95,59.95,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/4672a7ec-3450-4397-b51a-60177f19ad94/image.jpg",DH4179-738
Nike Romaleos 4,Training Shoe,179.95,179.95,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/d1d586ba-9202-4c41-ba05-85d5e5e861cd/image.jpg",DH4179-738
Nike Go,Women's Firm-Support High-Waisted 7/8 Leggings with Pockets (Plus Size),89.95,89.95,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/c5c6a20a-c264-42e6-91d5-e62b41b6cdff/image.jpg",DH4179-738
Nike Zenvy,Women's Gentle-Support Mid-Rise 7/8 Leggings,89.95,89.95,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/08059b46-c595-492c-b7ac-40f48ee99175/image.jpg",DH4179-738
Nike Go,Women's Firm-Support High-Waisted 20cm (approx.) Biker Shorts with Pockets,59.95,59.95,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/2214bc7f-9e0a-4250-a056-dd702491608d/image.jpg",DH4179-738
Nike Zenvy,Women's Gentle-Support High-Waisted 20cm (approx.) Biker Shorts (Plus Size),59.95,59.95,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/3c5e8e79-2807-4e82-8165-6bab2d53c02c/image.jpg",DH4179-738
Nike Dri-FIT Logo Legend (NFL Houston Texans),Men's T-Shirt,27.95,27.95,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/0a3f1c7b-f183-4d7f-995a-f40892f2ffaa/image.jpg",DH4179-738
Nike Gift Card,,0.0,0.0,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/b4f20f67-6cd6-4f8e-8e1c-41ccf6d9de08/image.jpg",DH4179-222
Nike Zenvy,Women's Gentle-Support High-Waisted Cropped Leggings,84.95,84.95,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/861d5500-8bcd-42d4-a927-47c9122732e6/image.jpg",DH4179-222
Nike Zenvy,Women's Gentle-Support High-Waisted Capri Leggings,84.95,84.95,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/26c676a9-e2c0-4d73-916a-d51893d2ce83/image.jpg",DH4179-222
Nike Zenvy,Women's Gentle-Support High-Waisted 7/8 Leggings,89.95,89.95,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/70cdb9d8-c4be-4b7b-9285-ad13a8fec3f9/image.jpg",DH4179-222
Nike Go,Women's Firm-Support Mid-Rise 20cm (approx.) Biker Shorts with Pockets,59.95,59.95,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/33d713f4-009e-42a2-a465-e91be1cba949/image.jpg",DH4179-222
Nike Savaleos,Weightlifting Shoe,114.95,114.95,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/ee049658-5f9b-4b10-b878-29f11f4d99a2/image.jpg",DH4179-222
Nike Pro 365,Women's High-Waisted 7/8 Mesh Panel Leggings,54.95,54.95,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/f8575c9f-d9c3-4711-8170-8e39acaf56af/image.jpg",DH4179-222
Nike Zenvy,Women's Gentle-Support High-Waisted Full-Length Leggings,89.95,89.95,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/31f65f2e-88f0-4482-9b36-7d472ee7f6a7/image.jpg",DH4179-222
Nike Go,Women's Firm-Support High-Waisted Full-Length Leggings with Pockets,89.95,89.95,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/3c3234e4-699a-4e6a-941c-29ca5f0705fa/image.jpg",DH4179-222
Nike Go,Women's Firm-Support Mid-Rise Full-Length Leggings with Pockets,89.95,89.95,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/002fb49d-71f5-45ac-98d8-08a5dceeb1c4/image.jpg",DH4179-222
Nike Pro 365,Women's High-Waisted 7/8 Mesh Panel Leggings,54.95,54.95,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/b035298f-c655-4783-8c43-f598ed741d85/image.jpg",DH4179-222
