product,vendor,style,shopify_inventory,variant_price
6.82E+12,Jordan,BQ6806-122,3,35
6.82E+12,Jordan,CK4212-103,0,35
6.82E+12,Jordan,DJ0634-687,3,60
6.82E+12,Jordan,DJ0634-091,0,60
6.82E+12,Jordan,DJ0634-010,0,60
6.82E+12,Jordan,DH8970-738,0,40
6.82E+12,Jordan,DH8970-010,0,40
6.82E+12,Jordan,DH4179-738,0,35
6.82E+12,Jordan,DH4179-222,0,34.99
6.82E+12,Jordan,DM1456-379,0,35
6.82E+12,Jordan,DM1424-100,0,35
6.82E+12,Jordan,DM1424-010,0,35
6.82E+12,Jordan,DJ0886-010,0,80
6.82E+12,Jordan,DM1456-697,0,35
6.82E+12,Jordan,DM1456-100,0,35
6.82E+12,Jordan,DM1440-010,0,35
6.82E+12,Jordan,CK4212-092,0,35
6.82E+12,Jordan,DH8972-100,4,40
6.82E+12,Jordan,DH8972-010,0,40
6.82E+12,Jordan,DH8972-091,0,40
6.82E+12,Jordan,DN4570-687,2,60
6.82E+12,Jordan,CK4212-404,0,35
6.82E+12,Jordan,CJ0921-404,2,30
6.82E+12,Jordan,DN4570-010,4,60
6.82E+12,Jordan,DA9806-673,0,185
6.82E+12,Jordan,DJ2647-687,0,35
6.82E+12,Jordan,DJ2647-064,0,35
6.82E+12,Jordan,DA9806-010,0,185
6.82E+12,Jordan,CZ8402-372,0,35
6.82E+12,Jordan,CK4212-781,0,35
6.82E+12,Jordan,DN4570-438,0,60
6.82E+12,Jordan,DH0785-480,0,200
6.82E+12,Jordan,DN9692-010,0,200
6.82E+12,Jordan,DH0785-010,0,200
6.82E+12,Jordan,DH4179-454,0,35
6.82E+12,Jordan,DH4179-781,0,35
6.82E+12,Jordan,DH4179-610,0,35
6.82E+12,Jordan,DH4179-333,0,35
6.82E+12,Jordan,DH4179-100,0,35
6.82E+12,Jordan,DH4179-091,0,35
6.82E+12,Jordan,DH4179-010,0,35
6.82E+12,Jordan,DH5481-010,0,65
6.82E+12,Jordan,DD6998-533,0,80
